,MASS: 1.4476e-12 SIZE: 5.3555e-06,MASS: 1.52e-12 SIZE: 5.4433e-06,MASS: 1.5924e-12 SIZE: 5.5283e-06,MASS: 1.6648e-12 SIZE: 5.6109e-06,MASS: 1.7372e-12 SIZE: 5.691e-06,MASS: 1.8096e-12 SIZE: 5.769e-06,MASS: 1.8819e-12 SIZE: 5.8449e-06,MASS: 1.9543e-12 SIZE: 5.9189e-06,MASS: 2.0267e-12 SIZE: 5.9911e-06,MASS: 2.0991e-12 SIZE: 6.0616e-06,MASS: 2.1715e-12 SIZE: 6.1305e-06
FORCE:0.45,2.9,2.75,2.85,2.85,2.75,2.75,2.8,2.75,2.75,2.75,2.75
FORCE:0.5,2.6,2.6,2.65,2.65,2.7,2.7,2.6,2.7,2.65,2.6,2.6
FORCE:0.75,2.1,2.2,2.25,2.2,2.2,2.15,2.2,2.15,2.2,2.15,2.25
FORCE:1,1.85,1.95,1.9,1.85,1.85,1.95,1.9,1.85,1.85,1.85,1.9
FORCE:1.5,1.5,1.5,1.6,1.55,1.55,1.55,1.55,1.5,1.55,1.5,1.6
FORCE:2,1.3,1.35,1.35,1.3,1.3,1.35,1.35,1.3,1.3,1.35,1.3
FORCE:2.25,1.25,1.3,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
