,NO.: 120MASS: 1.7372e-12 SIZE: 5.691e-06,,NO.: 130MASS: 1.8819e-12 SIZE: 5.8449e-06
FORCE:0.45,1.355,1.375
FORCE:0.5,1.305,1.285
FORCE:0.75,1.06,1.055
FORCE:1,0.92,0.925
FORCE:1.5,0.75,0.745
FORCE:2,0.645,0.655
FORCE:2.25,0.615,0.605
