F:\Uni\Simulations\SwarmSimulation
0.027,0.02,0.02,0,3.0159e-11,0,0,6.7877e-08,-0.00094106
0.045,0.044,0.024,0,3.0159e-11,1.433e-14,0,6.7644e-06,-0.00094106
0.064,0.064,0.02,0,3.0159e-11,1.4281e-12,0,0.00024745,-0.00094087
0.077,0.077,0.013,0,3.0159e-11,5.2241e-11,0,0.00022879,-0.00093664
0.13,0.106,0.029,0,3.0159e-11,4.8302e-11,0,0.00020873,-0.0009306
0.156,0.156,0.05,0,3.0159e-11,4.4067e-11,0,0.00018692,-0.00092103
0.17,0.17,0.014,0,3.0159e-11,3.9462e-11,0,0.00016284,-0.00091846
0.185,0.184,0.014,0,3.0159e-11,3.4377e-11,0,0.00013561,-0.00091635
0.204,0.203,0.019,0,3.0159e-11,2.863e-11,0,0.0001997,-0.00091412
0.224,0.223,0.02,0,3.0159e-11,4.2159e-11,0,0.000177,-0.00090945
0.265,0.265,0.042,0,3.0159e-11,3.7367e-11,0,0.00015169,-0.00090302
0.29,0.289,0.024,0,3.0159e-11,3.2025e-11,0,0.00012272,-0.00089955
0.335,0.334,0.045,0,3.0159e-11,2.5909e-11,0,0.00019241,-0.00089525
0.38,0.379,0.045,0,3.0159e-11,4.0621e-11,0,0.00016893,-0.00088503
0.403,0.402,0.023,0,3.0159e-11,3.5664e-11,0,0.00014256,-0.00088128
0.42,0.42,0.018,0,3.0159e-11,3.0098e-11,0,0.0002073,-0.0008789
0.506,0.44,0.02,0.064,3.0159e-11,4.3763e-11,0,0.00018535,-0.00087403
0.874,0.46,0.02,0.391,3.0159e-11,3.913e-11,0,0.00016108,-0.00087055
1.567,0.48,0.02,1.087,3.0159e-11,3.4006e-11,0,0.00013358,-0.00086757
1.604,0.515,0.035,1.087,3.0159e-11,2.8201e-11,0,0.00019843,-0.00086373
1.639,0.552,0.037,1.087,3.0159e-11,4.1892e-11,0,0.0001756,-0.00085512
1.666,0.579,0.027,1.087,3.0159e-11,3.7071e-11,0,0.00015012,-0.00085061
1.683,0.596,0.017,1.087,3.0159e-11,3.1692e-11,0,0.00012091,-0.00084819
1.72,0.632,0.036,1.087,3.0159e-11,2.5526e-11,0,0.00019148,-0.00084495
1.765,0.66,0.028,1.087,3.0159e-11,4.0425e-11,0.33333,0.00016791,-0.00083882
