0.029,0.022,0.022,0,2.26E-11,0,0,5.60E-08,-0.00094643
0.045,0.044,0.022,0,2.26E-11,1.18E-14,0,5.59E-06,-0.00094643
0.065,0.064,0.02,0,2.26E-11,1.18E-12,0,0.00023563,-0.00094627
0.08,0.077,0.013,0,2.26E-11,4.97E-11,0,0.00021611,-0.00094224
0.1,0.099,0.022,0,2.26E-11,4.56E-11,0,0.00019498,-0.00093784
0.115,0.114,0.015,0,2.26E-11,4.12E-11,0,0.00017178,-0.00093503
0.152,0.151,0.037,0,2.26E-11,3.63E-11,0,0.0001458,-0.00092973
0.164,0.163,0.012,0,2.26E-11,3.08E-11,0,0.00011578,-0.00092803
0.175,0.174,0.011,0,2.26E-11,2.44E-11,0,7.93E-05,-0.00092691
0.207,0.206,0.032,0,2.26E-11,1.67E-11,0,0.00017876,-0.00092607
0.218,0.217,0.011,0,2.26E-11,3.77E-11,0,0.00015368,-0.00092392
0.237,0.235,0.018,0,2.26E-11,3.24E-11,0,0.00012501,-0.00092152
0.254,0.253,0.018,0,2.26E-11,2.64E-11,0,9.08E-05,-0.00091953
0.277,0.276,0.023,0,2.26E-11,1.92E-11,0,0.0001802,-0.00091794
0.344,0.296,0.02,0.045,2.26E-11,3.80E-11,0,0.0001553,-0.00091356
0.385,0.338,0.042,0.045,2.26E-11,3.28E-11,0,0.00012688,-0.00090814
0.451,0.358,0.02,0.092,2.26E-11,2.68E-11,0,9.30E-05,-0.00090574
0.48,0.386,0.028,0.092,2.26E-11,1.96E-11,0,0.00018071,-0.00090379
0.518,0.425,0.039,0.092,2.26E-11,3.82E-11,0,0.00015587,-0.00089436
0.534,0.44,0.015,0.092,2.26E-11,3.29E-11,0,0.00012756,-0.0008921
0.548,0.455,0.015,0.092,2.26E-11,2.69E-11,0,9.39E-05,-0.0008904
0.565,0.472,0.017,0.092,2.26E-11,1.98E-11,0,0.00018095,-0.00088913
0.582,0.489,0.017,0.092,2.26E-11,3.82E-11,0,0.00015614,-0.00088531
0.605,0.512,0.023,0.092,2.26E-11,3.30E-11,0,0.00012787,-0.0008821
0.629,0.536,0.024,0.092,2.26E-11,2.70E-11,0,9.42E-05,-0.00087939
0.661,0.568,0.032,0.092,2.26E-11,1.99E-11,0,0.00018101,-0.00087709
0.687,0.594,0.026,0.092,2.26E-11,3.82E-11,0,0.00015621,-0.00087147
0.762,0.614,0.02,0.147,2.26E-11,3.30E-11,0,0.00012794,-0.00086853
0.788,0.639,0.025,0.147,2.26E-11,2.70E-11,0,9.43E-05,-0.00086578
0.833,0.679,0.04,0.147,2.26E-11,1.99E-11,0,0.00018103,-0.00086308
0.883,0.735,0.056,0.147,2.26E-11,3.82E-11,0,0.00015622,-0.00084954
1.083,0.755,0.02,0.322,2.26E-11,3.30E-11,0,0.00012796,-0.00084651
1.275,0.775,0.02,0.499,2.26E-11,2.70E-11,0,9.44E-05,-0.00084423
1.355,0.795,0.02,0.559,2.26E-11,1.99E-11,0.33333,0.00018107,-0.00084268
