% Model:              Untitled.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jan 11 2023, 17:19
% Dimension:          2
% Nodes:              18680
% Expressions:        2
% Description:        Velocity field, x component, Velocity field, y component
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)
-0.0034478995871288624    0.016509869988043803     -0.0024543142726439343   -0.02842012169466941
-0.0033720758537349946    0.016400693114083712     -2.9286449434022044E-4   -0.030112253861576427
-0.0033519541031227437    0.016541972853688816     -0.004110564011546474    -0.028850195065073303
-0.0036004442926385015    0.016458829313888444     0.0035085131019775236    -0.029923978435106396
-0.003485578228975382     0.01631126213749742      0.004685968970187864     -0.033952706970469045
-0.003675936927527017     0.016259270781553092     0.010460992036483525     -0.03439896886042132
-0.0038204047375304836    0.016385231679953587     0.012171953334460162     -0.028456588629209103
-0.0038893384758922622    0.01616850626354094      0.015673496464008282     -0.031119812159379204
-0.004040365182422464     0.016311634046018732     0.018329839156682414     -0.02249018018158906
-0.0041600181434293705    0.016271598780461177     0.019823506566197118     -0.018797297413500197
-0.004041820825419266     0.01617916293916354      0.01770649159323379      -0.024640486580540355
0.002392382965645822      0.01408007024173565      -0.01426546633329303     -0.018574240718794502
0.002345622369969038      0.014173857620250984     -0.017647222719777707    -0.024089865593242263
0.002276921341189091      0.014042864085206348     -0.019458243428619085    -0.021148125260486095
-0.011747569857746373     0.013073464774362697     0.018759654306234518     -0.014563590731631522
-0.011845284001440597     0.013024746313817436     0.02402316606768855      -0.017528628252812692
-0.011717130562153972     0.012954189478826397     0.021298921820083007     -0.019531405678459426
0.002320765357741958      0.013923968692152379     -0.022002185824239854    -0.017705156550019127
0.0024830076472011748     0.013898304992836494     -0.02078709127871878     -0.015406329824234991
0.0023948075383040464     0.013730198098406723     -0.02804260722696258     -0.014158561359937009
0.002610774339703738      0.013642044289182973     -0.027503574065315752    -0.007874269624532946
-0.011596470180475035     0.012999404401885113     0.017730057282093824     -0.021564707789751978
-0.01153363684618092      0.013180127807872932     0.014172597304427555     -0.021047101413506547
-0.011389885321807389     0.01308322046316711      0.013551947739537553     -0.027656873226003683
-0.011319703834615471     0.013286790841383168     0.007893887263811995     -0.026740343521748283
-0.011189838448605181     0.013176715649316426     0.0083635016328673       -0.031954682540549874
-0.011169714472477367     0.013361572756725955     0.0016984490883356046    -0.027726940797497976
-0.011087211597272011     0.013241364690566084     0.004786157273362231     -0.03165270194170545
-0.011093376199554233     0.013399633604387246     0.0025351530022919805    -0.03380171753352493
0.009466508721474148      0.011149687451333833     -0.014491283773276159    -0.01867011781873984
0.00941973287193998       0.01124350521413647      -0.017775938569123587    -0.0241306364418367
0.009350404247183131      0.011112124958226718     -0.019643891372396662    -0.0212182319193827
0.0024856595624920008     0.013527429299073883     -0.0325661740222635      -0.009083168082508948
0.0026822614601574664     0.013498663104064883     -0.02832384119786154     -0.0019836907980327364
0.002562136861711951      0.013416440393675049     -0.03182735740138012     -0.004966735447477826
0.002720241672120609      0.013422486475775087     -0.03343298671062396     -0.002387301801798722
-0.01418455401781447      0.007242417420434194     0.029368718037345597     -0.002241259753707542
-0.014054907048261489     0.007309142007044431     0.03220676670831525      2.4304508159520878E-4
-0.014212586574757853     0.007326197753231412     0.03299331747862923      -0.0027533480667166032
0.009393818400534413      0.010993062453244015     -0.02226787620957529     -0.01779501795298305
0.009557038822061976      0.010968112309716284     -0.02093584843516144     -0.015323733917345502
0.009472958766431963      0.010794934054723452     -0.027944091052007607    -0.013950598545800929
