F:\Uni\Simulations\SwarmSimulation
37,0,0,0,0,0[-0.000941833553403351 -0.000387482639680808;-0.000945910150823108 -0.000320686663136116;-0.000946628409866928 -0.000301047891639085],[1.83179857474905e-06 0;1.83179857474905e-06 0;1.83179857474905e-06 0]
55,0,0,0,0,0[-0.000941749281053759 -0.000387482639680808;-0.000945825878473516 -0.000320686663136116;-0.000946544137517335 -0.000301047891639085],[3.6635971494981e-06 0;3.6635971494981e-06 0;3.6635971494981e-06 0]
66,0,0,0,0,0[-0.000941683330603058 -0.000387482639680808;-0.000945759928022815 -0.000320686663136116;-0.000946478187066635 -0.000301047891639085],[5.49539572424715e-06 0;5.49539572424715e-06 0;5.49539572424715e-06 0]
78,0,0,0,0,0[-0.000941595396668791 -0.000387482639680808;-0.000945671994088548 -0.000320686663136116;-0.000946390253132367 -0.000301047891639085],[7.3271942989962e-06 0;7.3271942989962e-06 0;7.3271942989962e-06 0]
99,0,0,0,0,0[-0.000941412177679876 -0.000387482639680808;-0.000945488775099633 -0.000320686663136116;-0.000946207034143453 -0.000301047891639085],[9.15899287374525e-06 0;9.15899287374525e-06 0;9.15899287374525e-06 0]
111,0,0,0,0,0[-0.000941269375877533 -0.000387482639680808;-0.00094534597329729 -0.000320686663136116;-0.000946064232341109 -0.000301047891639085],[1.09907914484943e-05 0;1.09907914484943e-05 0;1.09907914484943e-05 0]
122,0,0,0,0,0[-0.000941128307038929 -0.000387482639680808;-0.000945204904458686 -0.000320686663136116;-0.000945923163502505 -0.000301047891639085],[1.28225900232433e-05 0;1.28225900232433e-05 0;1.28225900232433e-05 0]
133,0,0,0,0,0[-0.000940967197313207 -0.000387482639680808;-0.000945043794732964 -0.000320686663136116;-0.000945762053776784 -0.000301047891639085],[1.46543885979924e-05 0;1.46543885979924e-05 0;1.46543885979924e-05 0]
144,0,0,0,0,0[-0.000940785697312519 -0.000387482639680808;-0.000944862294732276 -0.000320686663136116;-0.000945580553776095 -0.000301047891639085],[1.64861871727414e-05 0;1.64861871727414e-05 0;1.64861871727414e-05 0]
184,0,0,0,0,0[-0.000940052961112002 -0.000387482639680808;-0.000944129558531759 -0.000320686663136116;-0.000944847817575579 -0.000301047891639085],[1.83179857474905e-05 0;1.83179857474905e-05 0;1.83179857474905e-05 0]
200,0,0,0,0,0[-0.00093973074166056 -0.000387482639680808;-0.000943807339080317 -0.000320686663136116;-0.000944525598124137 -0.000301047891639085],[2.01497843222395e-05 0;2.01497843222395e-05 0;2.01497843222395e-05 0]
