F:\Uni\Simulations\SwarmSimulation
38,0,0,0,0,0[-0.000947096508710832 -0.000334512167251197;-0.000942181853995899 -0.000346074278078147;-0.00094556214083796 -0.000322515281376163],[6.1059952491635e-06 0;6.1059952491635e-06 0;6.1059952491635e-06 0]
59,0,0,0,0,0[-0.000946778985032103 -0.000334512167251197;-0.000941864330317171 -0.000346074278078147;-0.000945244617159232 -0.000322515281376163],[1.2211990498327e-05 0;1.2211990498327e-05 0;1.2211990498327e-05 0]
83,0,0,0,0,0[-0.000946339315360765 -0.000334512167251197;-0.000941424660645833 -0.000346074278078147;-0.000944804947487894 -0.000322515281376163],[1.83179857474905e-05 0;1.83179857474905e-05 0;1.83179857474905e-05 0]
98,0,0,0,0,0[-0.000945948746328714 -0.000334512167251197;-0.000941034091613782 -0.000346074278078147;-0.000944414378455843 -0.000322515281376163],[2.4423980996654e-05 0;2.4423980996654e-05 0;2.4423980996654e-05 0]
131,0,0,0,0,0[-0.000945063164589772 -0.000334512167251197;-0.00094014850987484 -0.000346074278078147;-0.000943528796716901 -0.000322515281376163],[3.05299762458175e-05 0;3.05299762458175e-05 0;3.05299762458175e-05 0]
142,0,0,0,0,0[-0.00094451364737817 -0.000334512167251197;-0.000939598992663238 -0.000346074278078147;-0.000942979279505299 -0.000322515281376163],[3.6635971494981e-05 0;3.6635971494981e-05 0;3.6635971494981e-05 0]
168,0,0,0,0,0[-0.000943402314502621 -0.000334512167251197;-0.000938487659787688 -0.000346074278078147;-0.000941867946629749 -0.000322515281376163],[4.27419667441445e-05 0;4.27419667441445e-05 0;4.27419667441445e-05 0]
200,0,0,0,0,0[-0.000941839293013668 -0.000334512167251197;-0.000936924638298736 -0.000346074278078147;-0.000940304925140797 -0.000322515281376163],[4.8847961993308e-05 0;4.8847961993308e-05 0;4.8847961993308e-05 0]
219,0,0,0,0,0[-0.000940795322115736 -0.000334512167251197;-0.000935880667400804 -0.000346074278078147;-0.000939260954242865 -0.000322515281376163],[5.49539572424715e-05 0;5.49539572424715e-05 0;5.49539572424715e-05 0]
232,0,0,0,0,0[-0.000940001047068448 -0.000334512167251197;-0.000935086392353515 -0.000346074278078147;-0.000938466679195576 -0.000322515281376163],[6.1059952491635e-05 0;6.1059952491635e-05 0;6.1059952491635e-05 0]
252,0,0,0,0,0[-0.000938657953585258 -0.000334512167251197;-0.000933743298870326 -0.000346074278078147;-0.000937123585712387 -0.000322515281376163],[6.71659477407985e-05 0;6.71659477407985e-05 0;6.71659477407985e-05 0]
272,0,0,0,0,0[-0.000937192201673944 -0.000334512167251197;-0.000932277546959012 -0.000346074278078147;-0.000935657833801073 -0.000322515281376163],[7.3271942989962e-05 0;7.3271942989962e-05 0;7.3271942989962e-05 0]
287,0,0,0,0,0[-0.000936001581048806 -0.000334512167251197;-0.000931086926333874 -0.000346074278078147;-0.000934467213175935 -0.000322515281376163],[7.93779382391255e-05 0;7.93779382391255e-05 0;7.93779382391255e-05 0]
304,0,0,0,0,0[-0.000934548500270212 -0.000334512167251197;-0.00092963384555528 -0.000346074278078147;-0.000933014132397341 -0.000322515281376163],[8.5483933488289e-05 0;8.5483933488289e-05 0;8.5483933488289e-05 0]
318,0,0,0,0,0[-0.000933266246858093 -0.000334512167251197;-0.000928351592143161 -0.000346074278078147;-0.000931731878985222 -0.000322515281376163],[9.15899287374525e-05 0;9.15899287374525e-05 0;9.15899287374525e-05 0]
334,0,0,0,0,0[-0.000931703225369141 -0.000334512167251197;-0.000926788570654209 -0.000346074278078147;-0.00093016885749627 -0.000322515281376163],[9.7695923986616e-05 0;9.7695923986616e-05 0;9.7695923986616e-05 0]
350,0,0,0,0,0[-0.000930043306982924 -0.000334512167251197;-0.000925128652267992 -0.000346074278078147;-0.000928508939110053 -0.000322515281376163],[0.00010380191923578 0;0.00010380191923578 0;0.00010380191923578 0]
365,0,0,0,0,0[-0.000928393916817276 -0.000334512167251197;-0.000923479262102344 -0.000346074278078147;-0.000926859548944405 -0.000322515281376163],[0.000109907914484943 0;0.000109907914484943 0;0.000109907914484943 0]
380,0,0,0,0,0[-0.000926653778980535 -0.000334512167251197;-0.000921739124265603 -0.000346074278078147;-0.000925119411107664 -0.000322515281376163],[0.000116013909734107 0;0.000116013909734107 0;0.000116013909734107 0]
394,0,0,0,0,0[-0.000924944107764377 -0.000334512167251197;-0.000920029453049445 -0.000346074278078147;-0.000923409739891506 -0.000322515281376163],[0.00012211990498327 0;0.00012211990498327 0;0.00012211990498327 0]
