F:\Uni\Simulations\SwarmSimulation
902,1,0,0,0,0,[-0.000750892474785666 -0.000317775087535953;-0.000755867105477815 -0.000335913839737851;-0.000753242145334619 -0.00035190339977499],[0.000545426981572096 0;0.000545426981572096 0;0.000545426981572096 0]
975,0,0,0,0,0,[-0.000724686726791785 -0.000317775087535953;-0.000729661357483934 -0.000335913839737851;-0.000727036397340739 -0.00035190339977499],[0.000563988748586157 0;0.000563988748586157 0;0.000563988748586157 0]
1056,0,0,0,0,0,[-0.000694493599927047 -0.000317775087535953;-0.000699468230619196 -0.000335913839737851;-0.000696843270476 -0.00035190339977499],[0.000579486231031056 0;0.000579486231031056 0;0.000579486231031056 0]
1136,0,0,0,0,0,[-0.000666738103688676 -0.000317775087535953;-0.000671712734380826 -0.000335913839737851;-0.00066908777423763 -0.00035190339977499],[0.000592346755084999 0;0.000592346755084999 0;0.000592346755084999 0]
1226,0,0,0,0,0,[-0.000635258924418544 -0.000317775087535953;-0.000640233555110693 -0.000335913839737851;-0.000637608594967497 -0.00035190339977499],[0.000602964740975333 0;0.000602964740975333 0;0.000602964740975333 0]
1301,0,0,0,0,0,[-0.000606441629591141 -0.000317775087535953;-0.00061141626028329 -0.000335913839737851;-0.000608791300140094 -0.00035190339977499],[0.000611694132463806 0;0.000611694132463806 0;0.000611694132463806 0]
1375,0,0,0,0,0,[-0.000574089511172162 -0.000317775087535953;-0.000579064141864311 -0.000335913839737851;-0.000576439181721115 -0.00035190339977499],[0.00061884571739841 0;0.00061884571739841 0;0.00061884571739841 0]
1457,0,0,0,0,0,[-0.000544557057851298 -0.000317775087535953;-0.000549531688543448 -0.000335913839737851;-0.000546906728400252 -0.00035190339977499],[0.000624687778397035 0;0.000624687778397035 0;0.000624687778397035 0]
1534,0,0,0,0,0,[-0.000511620733332457 -0.000317775087535953;-0.000516595364024606 -0.000335913839737851;-0.00051397040388141 -0.00035190339977499],[0.000629448806193283 0;0.000629448806193283 0;0.000629448806193283 0]
1627,0,0,0,0,0,[-0.000481612177231969 -0.000317775087535953;-0.000486586807924118 -0.000335913839737851;-0.000483961847780923 -0.00035190339977499],[0.000633321326666402 0;0.000633321326666402 0;0.000633321326666402 0]
1696,0,0,0,0,0,[-0.000448288600665816 -0.000317775087535953;-0.000453263231357965 -0.000335913839737851;-0.000450638271214769 -0.00035190339977499],[0.000636466178796403 0;0.000636466178796403 0;0.000636466178796403 0]
1780,0,0,0,0,0,[-0.000417965559352328 -0.000317775087535953;-0.000422940190044477 -0.000335913839737851;-0.000420315229901282 -0.00035190339977499],[0.00063901681164892 0;0.00063901681164892 0;0.00063901681164892 0]
1857,0,0,0,0,0,[-0.000384386919500923 -0.000317775087535953;-0.000389361550193072 -0.000335913839737851;-0.000386736590049877 -0.00035190339977499],[0.000641083341162314 0;0.000641083341162314 0;0.000641083341162314 0]
1934,0,0,0,0,0,[-0.000353857225236096 -0.000317775087535953;-0.000358831855928245 -0.000335913839737851;-0.00035620689578505 -0.00035190339977499],[0.000642756229047738 0;0.000642756229047738 0;0.000642756229047738 0]
2024,0,0,0,0,0,[-0.000320111296596149 -0.000317775087535953;-0.000325085927288298 -0.000335913839737851;-0.000386736590049876 -0.00035190339977499],[0.000644109527029269 0;0.000644109527029269 0;6.28296439531633e-05 0]
2096,0,0,0,0,0,[-0.000353857225236096 -0.000317775087535953;-0.000358831855928245 -0.000335913839737851;-0.000354857973126436 -0.00035190339977499],[6.28296439531626e-05 0;6.28296439531626e-05 0;0.00012507187341679 0]
2175,0,0,0,0,0,[-0.000328719431650442 -0.000317775087535953;-0.000344766215604322 -0.000335913839737851;-0.000386736590049864 -0.00035190339977499],[0.00012507187341679 0;0.00012507187341679 0;6.28296439532886e-05 0]
2269,0,0,0,0,0,[-0.000353857225236083 -0.000317775087535953;-0.000358831855928232 -0.000335913839737851;-0.000354878206966302 -0.00035190339977499],[6.28296439532886e-05 0;6.28296439532886e-05 0;0.000125071873416913 0]
2334,0,0,0,0,0,[-0.000328590309624615 -0.000317775087535953;-0.000344471011279569 -0.000335913839737851;-0.000386736590049851 -0.00035190339977499],[0.000125071873416913 0;0.000125071873416913 0;6.28296439532886e-05 0]
2425,0,0,0,0,0,[-0.00035385722523607 -0.000317775087535953;-0.000358831855928219 -0.000335913839737851;-0.000354877903458704 -0.00035190339977499],[6.28296439532886e-05 0;6.28296439532886e-05 0;0.000125071873416913 0]
