F:\Uni\Simulations\SwarmSimulation
75,0,0,0,0,0,[-0.000946127545685169 -0.000307578346461172;-0.000948193831122469 -0.000370716780142177;-0.000943726534975565 -0.000385927620490301],[1.39621431007022e-05 0;1.39621431007022e-05 0;1.39621431007022e-05 0]
135,0,0,0,0,0,[-0.000944731331375096 -0.000307578346461172;-0.000946797616812396 -0.000370716780142177;-0.000942330320665492 -0.000385927620490301],[2.7895278078487e-05 0;2.7895278078487e-05 0;2.7895278078487e-05 0]
185,0,0,0,0,0,[-0.000943338017877317 -0.000307578346461172;-0.000945404303314617 -0.000370716780142177;-0.000940937007167714 -0.000385927620490301],[4.17416296344347e-05 0;4.17416296344347e-05 0;4.17416296344347e-05 0]
261,0,0,0,0,0,[-0.000940557168411649 -0.000307578346461172;-0.000942623453848949 -0.000370716780142177;-0.000938156157702046 -0.000385927620490301],[5.54445015467145e-05 0;5.54445015467145e-05 0;5.54445015467145e-05 0]
384,0,0,0,0,0,[-0.000937793567722643 -0.000307578346461172;-0.000939859853159943 -0.000370716780142177;-0.000935392557013039 -0.000385927620490301],[6.89492064521194e-05 0;6.89492064521194e-05 0;6.89492064521194e-05 0]
416,0,0,0,0,0,[-0.000933662247766434 -0.000307578346461172;-0.000935728533203735 -0.000370716780142177;-0.000931261237056831 -0.000385927620490301],[8.22039349800602e-05 0;8.22039349800602e-05 0;8.22039349800602e-05 0]
495,0,0,0,0,0,[-0.000929573174224634 -0.000307578346461172;-0.000931639459661934 -0.000370716780142177;-0.000927172163515031 -0.000385927620490301],[9.51605350233507e-05 0;9.51605350233507e-05 0;9.51605350233507e-05 0]
590,0,0,0,0,0,[-0.000924146194264097 -0.000307578346461172;-0.000926212479701397 -0.000370716780142177;-0.000921745183554493 -0.000385927620490301],[0.000107775176777199 0;0.000107775176777199 0;0.000107775176777199 0]
656,0,0,0,0,0,[-0.000918795656546912 -0.000307578346461172;-0.000920861941984212 -0.000370716780142177;-0.000916394645837308 -0.000385927620490301],[0.000120008885301861 0;0.000120008885301861 0;0.000120008885301861 0]
747,0,0,0,0,0,[-0.000912145305733908 -0.000307578346461172;-0.000914211591171208 -0.000370716780142177;-0.000909744295024305 -0.000385927620490301],[0.000131827929265658 0;0.000131827929265658 0;0.000131827929265658 0]
818,0,0,0,0,0,[-0.000905612863620343 -0.000307578346461172;-0.000907679149057644 -0.000370716780142177;-0.00090321185291074 -0.000385927620490301],[0.000143204061661579 0;0.000143204061661579 0;0.000143204061661579 0]
899,0,0,0,0,0,[-0.000897824899567748 -0.000307578346461172;-0.000899891185005048 -0.000370716780142177;-0.000895423888858144 -0.000385927620490301],[0.000154114615137959 0;0.000154114615137959 0;0.000154114615137959 0]
976,0,0,0,0,0,[-0.000890201402106545 -0.000307578346461172;-0.000892267687543845 -0.000370716780142177;-0.000887800391396942 -0.000385927620490301],[0.000164542460686797 0;0.000164542460686797 0;0.000164542460686797 0]
1067,0,0,0,0,0,[-0.000881370653499066 -0.000307578346461172;-0.000883436938936366 -0.000370716780142177;-0.000878969642789463 -0.000385927620490301],[0.000174475843446534 0;0.000174475843446534 0;0.000174475843446534 0]
1137,0,0,0,0,0,[-0.00087275381776189 -0.000307578346461172;-0.00087482010319919 -0.000370716780142177;-0.000870352807052286 -0.000385927620490301],[0.00018390811308436 0;0.00018390811308436 0;0.00018390811308436 0]
1216,0,0,0,0,0,[-0.000862979842190628 -0.000307578346461172;-0.000865046127627928 -0.000370716780142177;-0.000860578831481025 -0.000385927620490301],[0.00019283736854593 0;0.00019283736854593 0;0.00019283736854593 0]
1295,0,0,0,0,0,[-0.000853470080907295 -0.000307578346461172;-0.000855536366344595 -0.000370716780142177;-0.000851069070197691 -0.000385927620490301],[0.000201266037939683 0;0.000201266037939683 0;0.000201266037939683 0]
1389,0,0,0,0,0,[-0.000842853238396658 -0.000307578346461172;-0.000844919523833958 -0.000370716780142177;-0.000840452227687055 -0.000385927620490301],[0.000209200414099315 0;0.000209200414099315 0;0.000209200414099315 0]
1456,1,0,0,0,0,[-0.000832550039497362 -0.000307578346461172;-0.000834616324934662 -0.000370716780142177;-0.000830149028787758 -0.000385927620490301],[0.000216650165150503 0;0.000216650165150503 0;0.000216650165150503 0]
1542,1,0,0,0,0,[-0.000821188221881606 -0.000307578346461172;-0.000823254507318906 -0.000370716780142177;-0.000818787211172003 -0.000385927620490301],[0.000223627837442447 0;0.000223627837442447 0;0.000223627837442447 0]
1616,1,0,0,0,0,[-0.000810187255753116 -0.000307578346461172;-0.000812253541190416 -0.000370716780142177;-0.000807786245043512 -0.000385927620490301],[0.00023014836574484 0;0.00023014836574484 0;0.00023014836574484 0]
1700,1,0,0,0,0,[-0.000798173385307121 -0.000307578346461172;-0.000800239670744421 -0.000370716780142177;-0.000795772374597518 -0.000385927620490301],[0.000236228602894256 0;0.000236228602894256 0;0.000236228602894256 0]
1783,1,0,0,0,0,[-0.000786564395463689 -0.000307578346461172;-0.000788630680900989 -0.000370716780142177;-0.000784163384754085 -0.000385927620490301],[0.000241886878306584 0;0.000241886878306584 0;0.000241886878306584 0]
1867,1,0,0,0,0,[-0.000773984697476461 -0.000307578346461172;-0.000776050982913761 -0.000370716780142177;-0.000771583686766858 -0.000385927620490301],[0.000247142592118007 0;0.000247142592118007 0;0.000247142592118007 0]
1943,1,0,0,0,0,[-0.000761850136251887 -0.000307578346461172;-0.000763916421689187 -0.000370716780142177;-0.000759449125542284 -0.000385927620490301],[0.0002520158492957 0;0.0002520158492957 0;0.0002520158492957 0]
2017,0.33333,0,0,0,0,[-0.00074878311254689 -0.000307578346461172;-0.000750849397984191 -0.000370716780142177;-0.000746382101837287 -0.000385927620490301],[0.000256527135947432 0;0.000256527135947432 0;0.000256527135947432 0]
2110,0,0,0,0,0,[-0.000736197422657143 -0.000307578346461172;-0.000738263708094443 -0.000370716780142177;-0.000733796411947539 -0.000385927620490301],[0.000260697038295279 0;0.000260697038295279 0;0.000260697038295279 0]
2176,0,0,0,0,0,[-0.000722713408717362 -0.000307578346461172;-0.000724779694154662 -0.000370716780142177;-0.000720312398007758 -0.000385927620490301],[0.000264546003370728 0;0.000264546003370728 0;0.000264546003370728 0]
2256,0,0,0,0,0,[-0.000709742822320069 -0.000307578346461172;-0.00071180910775737 -0.000370716780142177;-0.000707341811610466 -0.000385927620490301],[0.000268094139421407 0;0.000268094139421407 0;0.000268094139421407 0]
2343,0,0,0,0,0,[-0.00069590399477522 -0.000307578346461172;-0.00069797028021252 -0.000370716780142177;-0.000693502984065617 -0.000385927620490301],[0.000271361053262538 0;0.000271361053262538 0;0.000271361053262538 0]
2416,0,0,0,0,0,[-0.000682606716993815 -0.000307578346461172;-0.000684673002431115 -0.000370716780142177;-0.000680205706284211 -0.000385927620490301],[0.000274365721318744 0;0.000274365721318744 0;0.000274365721318744 0]
2495,0,0,0,0,0,[-0.000668467422643345 -0.000307578346461172;-0.000670533708080645 -0.000370716780142177;-0.000666066411933742 -0.000385927620490301],[0.000277126390839633 0;0.000277126390839633 0;0.000277126390839633 0]
2591,0,0,0,0,0,[-0.000654894077909851 -0.000307578346461172;-0.000656960363347151 -0.000370716780142177;-0.000652493067200248 -0.000385927620490301],[0.000279660507691276 0;0.000279660507691276 0;0.000279660507691276 0]
2657,0,0,0,0,0,[-0.000640501371874217 -0.000307578346461172;-0.000642567657311517 -0.000370716780142177;-0.000638100361164614 -0.000385927620490301],[0.000281984667183455 0;0.000281984667183455 0;0.000281984667183455 0]
2736,0,0,0,0,0,[-0.000626695611191505 -0.000307578346461172;-0.000628761896628805 -0.000370716780142177;-0.000624294600481902 -0.000385927620490301],[0.000284114584552014 0;0.000284114584552014 0;0.000284114584552014 0]
2816,0,0,0,0,0,[-0.000612089913419015 -0.000307578346461172;-0.000614156198856315 -0.000370716780142177;-0.000609688902709412 -0.000385927620490301],[0.000286065081944836 0;0.000286065081944836 0;0.000286065081944836 0]
2899,0,0,0,0,0,[-0.000598089102997021 -0.000307578346461172;-0.000600155388434321 -0.000370716780142177;-0.000595688092287418 -0.000385927620490301],[0.000287850089032233 0;0.000287850089032233 0;0.000287850089032233 0]
2977,0,0,0,0,0,[-0.000583304904515791 -0.000307578346461172;-0.000585371189953092 -0.000370716780142177;-0.000580903893806188 -0.000385927620490301],[0.000289482654656783 0;0.000289482654656783 0;0.000289482654656783 0]
3054,0,0,0,0,0,[-0.000569140837531342 -0.000307578346461172;-0.000571207122968643 -0.000370716780142177;-0.000566739826821739 -0.000385927620490301],[0.000290974967237641 0;0.000290974967237641 0;0.000290974967237641 0]
3144,0,0,0,0,0,[-0.000554207407792027 -0.000307578346461172;-0.000556273693229327 -0.000370716780142177;-0.000551806397082424 -0.000385927620490301],[0.000292338381937988 0;0.000292338381937988 0;0.000292338381937988 0]
3216,0,0,0,0,0,[-0.000539906999337543 -0.000307578346461172;-0.000541973284774844 -0.000370716780142177;-0.00053750598862794 -0.000385927620490301],[0.00029358345288327 0;0.00029358345288327 0;0.00029358345288327 0]
3294,0,0,0,0,0,[-0.0005248490625037 -0.000307578346461172;-0.000526915347941 -0.000370716780142177;-0.000522448051794097 -0.000385927620490301],[0.000294719968976703 0;0.000294719968976703 0;0.000294719968976703 0]
3388,0,0,0,0,0,[-0.000510435002439873 -0.000307578346461172;-0.000512501287877173 -0.000370716780142177;-0.000508033991730269 -0.000385927620490301],[0.000295756992094018 0;0.000295756992094018 0;0.000295756992094018 0]
3455,0,0,0,0,0,[-0.000495273363294298 -0.000307578346461172;-0.000497339648731598 -0.000370716780142177;-0.000492872352584695 -0.000385927620490301],[0.000296702896650286 0;0.000296702896650286 0;0.000296702896650286 0]
3540,0,0,0,0,0,[-0.000480764712774844 -0.000307578346461172;-0.000482830998212144 -0.000370716780142177;-0.000478363702065241 -0.000385927620490301],[0.000297565409717682 0;0.000297565409717682 0;0.000297565409717682 0]
3618,0,0,0,0,0,[-0.000465516822322529 -0.000307578346461172;-0.00046758310775983 -0.000370716780142177;-0.000463115811612926 -0.000385927620490301],[0.000298351651035225 0;0.000298351651035225 0;0.000298351651035225 0]
3703,0,0,0,0,0,[-0.000450929547671321 -0.000307578346461172;-0.000452995833108622 -0.000370716780142177;-0.000448528536961718 -0.000385927620490301],[0.000299068172391128 0;0.000299068172391128 0;0.000299068172391128 0]
3787,0,0,0,0,0,[-0.000435610005083416 -0.000307578346461172;-0.000437676290520717 -0.000370716780142177;-0.000433208994373813 -0.000385927620490301],[0.000299720995977386 0;0.000299720995977386 0;0.000299720995977386 0]
3863,0,0,0,0,0,[-0.000420957448073583 -0.000307578346461172;-0.000423023733510883 -0.000370716780142177;-0.000418556437363979 -0.000385927620490301],[0.000300315651416487 0;0.000300315651416487 0;0.000300315651416487 0]
3940,0,0,0,0,0,[-0.000405578439941768 -0.000307578346461172;-0.000407644725379068 -0.000370716780142177;-0.000403177429232164 -0.000385927620490301],[0.000300857211243818 0;0.000300857211243818 0;0.000300857211243818 0]
4016,0,0,0,0,0,[-0.000390871726949201 -0.000307578346461172;-0.000392938012386501 -0.000370716780142177;-0.000388470716239597 -0.000385927620490301],[0.000301350324698343 0;0.000301350324698343 0;0.000301350324698343 0]
4108,0,0,0,0,0,[-0.000375443407471933 -0.000307578346461172;-0.000377509692909233 -0.000370716780142177;-0.00037304239676233 -0.000385927620490301],[0.000301799249730552 0;0.000301799249730552 0;0.000301799249730552 0]
4176,0,0,0,0,0,[-0.000360691801976145 -0.000307578346461172;-0.000362758087413446 -0.000370716780142177;-0.000358290791266542 -0.000385927620490301],[0.000302207883182045 0;0.000302207883182045 0;0.000302207883182045 0]
4263,0,0,0,0,0,[-0.000345222619153729 -0.000307578346461172;-0.000347288904591029 -0.000370716780142177;-0.000342821608444125 -0.000385927620490301],[0.000302579789127314 0;0.000302579789127314 0;0.000302579789127314 0]
4337,0,0,0,0,0,[-0.000330433823063414 -0.000307578346461172;-0.000332500108500714 -0.000370716780142177;-0.000328032812353811 -0.000385927620490301],[0.000302918225396533 0;0.000302918225396533 0;0.000302918225396533 0]
4415,0,0,0,0,0,[-0.000314930796614075 -0.000307578346461172;-0.000347288904591029 -0.000370716780142177;-0.000312529785904472 -0.000385927620490301],[0.000303226168319862 0;1.39621431007029e-05 0;0.000303226168319862 0]
4510,0,0,0,0,0,[-0.000330433823063414 -0.000307578346461172;-0.000340718023511736 -0.000370716780142177;-0.000328032812353811 -0.000385927620490301],[1.39621431007028e-05 0;2.78952780784876e-05 0;1.39621431007028e-05 0]
4577,0,0,0,0,0,[-0.000324621205399872 -0.000307578346461172;-0.000347288904591026 -0.000370716780142177;-0.000325346758536172 -0.000385927620490301],[2.78952780784876e-05 0;1.3962143100731e-05 0;2.78952780784876e-05 0]
4657,0,0,0,0,0,[-0.000330433823063411 -0.000307578346461172;-0.000340594754786568 -0.000370716780142177;-0.000328032812353808 -0.000385927620490301],[1.3962143100731e-05 0;2.78952780785157e-05 0;1.3962143100731e-05 0]
4736,0,0,0,0,0,[-0.000324475849268082 -0.000307578346461172;-0.000347288904591023 -0.000370716780142177;-0.000325154503946694 -0.000385927620490301],[2.78952780785157e-05 0;1.3962143100731e-05 0;2.78952780785157e-05 0]
4830,0,0,0,0,0,[-0.000330433823063408 -0.000307578346461172;-0.000340596603817445 -0.000370716780142177;-0.000328032812353805 -0.000385927620490301],[1.3962143100731e-05 0;2.78952780785157e-05 0;1.3962143100731e-05 0]
4897,0,0,0,0,0,[-0.000324478029610059 -0.000307578346461172;-0.00034728890459102 -0.000370716780142177;-0.000325157387765536 -0.000385927620490301],[2.78952780785157e-05 0;1.3962143100731e-05 0;2.78952780785157e-05 0]
4987,0,0,0,0,0,[-0.000330433823063405 -0.000307578346461172;-0.000340596576081982 -0.000370716780142177;-0.000328032812353802 -0.000385927620490301],[1.3962143100731e-05 0;2.78952780785157e-05 0;1.3962143100731e-05 0]
5062,0,0,0,0,0,[-0.00032447799690493 -0.000307578346461172;-0.000347288904591017 -0.000370716780142177;-0.000325157344508253 -0.000385927620490301],[2.78952780785157e-05 0;1.3962143100731e-05 0;2.78952780785157e-05 0]
5136,0,0,0,0,0,[-0.000330433823063403 -0.000307578346461172;-0.000340596576498014 -0.000370716780142177;-0.000328032812353799 -0.000385927620490301],[1.3962143100731e-05 0;2.78952780785157e-05 0;1.3962143100731e-05 0]
5222,0,0,0,0,0,[-0.000324477997395507 -0.000307578346461172;-0.000347288904591014 -0.000370716780142177;-0.000325157345157112 -0.000385927620490301],[2.78952780785157e-05 0;1.3962143100731e-05 0;2.78952780785157e-05 0]
5299,0,0,0,0,0,[-0.0003304338230634 -0.000307578346461172;-0.000340596576491773 -0.000370716780142177;-0.000328032812353796 -0.000385927620490301],[1.3962143100731e-05 0;2.78952780785157e-05 0;1.3962143100731e-05 0]
