F:\Uni\Simulations\SwarmSimulation
1777,0,0,0,0,0,[-0.000465835133498993 -0.000342457151211432;-0.000459726830765899 -0.000314146078786184;-0.000459336741093415 -0.000328270237582473],[0.000598931498468414 0;0.000598931498468414 0;0.000598931498468414 0]
1855,0,0,0,0,0,[-0.000434424584953457 -0.000342457151211432;-0.000428316282220363 -0.000314146078786184;-0.000427926192547879 -0.000328270237582473],[0.000601401153015404 0;0.000601401153015404 0;0.000601401153015404 0]
1940,0,0,0,0,0,[-0.000405695018197452 -0.000342457151211432;-0.000399586715464358 -0.000314146078786184;-0.000399196625791874 -0.000328270237582473],[0.00060342969107909 0;0.00060342969107909 0;0.00060342969107909 0]
2015,0,0,0,0,0,[-0.000374081615845547 -0.000342457151211432;-0.000367973313112453 -0.000314146078786184;-0.000367583223439969 -0.000328270237582473],[0.000605094544723187 0;0.000605094544723187 0;0.000605094544723187 0]
2113,0,0,0,0,0,[-0.000345185563725133 -0.000342457151211432;-0.000339077260992039 -0.000314146078786184;-0.000338687171319555 -0.000328270237582473],[0.000606460001754284 0;0.000606460001754284 0;0.000606460001754284 0]
2179,0,0,0,0,0,[-0.000374081615845547 -0.000342457151211432;-0.000307327312937025 -0.000314146078786184;-0.000367583223439969 -0.000328270237582473],[5.58485724028116e-05 0;0.000607579288024794 0;5.58485724028116e-05 0]
2269,0,0,0,0,0,[-0.000350978408179752 -0.000342457151211432;-0.000339077260992039 -0.000314146078786184;-0.000338466805157321 -0.000328270237582473],[0.000111233014838595 0;5.58485724028111e-05 0;0.000111233014838595 0]
2337,0,0,0,0,0,[-0.000374081615845536 -0.000342457151211432;-0.000326383899514295 -0.000314146078786184;-0.000367583223439958 -0.000328270237582473],[5.58485724029233e-05 0;0.000111233014838594 0;5.58485724029233e-05 0]
2418,0,0,0,0,0,[-0.000350891515512922 -0.000342457151211432;-0.000339077260992028 -0.000314146078786184;-0.000338470110649743 -0.000328270237582473],[0.000111233014838705 0;5.58485724029233e-05 0;0.000111233014838705 0]
2498,0,0,0,0,0,[-0.000374081615845524 -0.000342457151211432;-0.000326098050715625 -0.000314146078786184;-0.000367583223439946 -0.000328270237582473],[5.58485724029233e-05 0;0.000111233014838705 0;5.58485724029233e-05 0]
2576,0,0,0,0,0,[-0.000350892818902924 -0.000342457151211432;-0.000339077260992016 -0.000314146078786184;-0.000338470061067357 -0.000328270237582473],[0.000111233014838705 0;5.58485724029233e-05 0;0.000111233014838705 0]
2667,0,0,0,0,0,[-0.000374081615845513 -0.000342457151211432;-0.000326102338447605 -0.000314146078786184;-0.000367583223439935 -0.000328270237582473],[5.58485724029233e-05 0;0.000111233014838705 0;5.58485724029233e-05 0]
2737,0,0,0,0,0,[-0.000350892799352074 -0.000342457151211432;-0.000339077260992005 -0.000314146078786184;-0.000338470061811093 -0.000328270237582473],[0.000111233014838705 0;5.58485724029233e-05 0;0.000111233014838705 0]
2821,0,0,0,0,0,[-0.000374081615845501 -0.000342457151211432;-0.000326102274131625 -0.000314146078786184;-0.000367583223439923 -0.000328270237582473],[5.58485724029233e-05 0;0.000111233014838705 0;5.58485724029233e-05 0]
2896,0,0,0,0,0,[-0.000350892799645337 -0.000342457151211432;-0.000339077260991993 -0.000314146078786184;-0.000338470061799937 -0.000328270237582473],[0.000111233014838705 0;5.58485724029233e-05 0;0.000111233014838705 0]
2977,0,0,0,0,0,[-0.00037408161584549 -0.000342457151211432;-0.000326102275096365 -0.000314146078786184;-0.000367583223439912 -0.000328270237582473],[5.58485724029233e-05 0;0.000111233014838705 0;5.58485724029233e-05 0]
3068,0,0,0,0,0,[-0.000350892799640938 -0.000342457151211432;-0.000339077260991982 -0.000314146078786184;-0.000338470061800104 -0.000328270237582473],[0.000111233014838705 0;5.58485724029233e-05 0;0.000111233014838705 0]
3136,0,0,0,0,0,[-0.000374081615845478 -0.000342457151211432;-0.000326102275081894 -0.000314146078786184;-0.0003675832234399 -0.000328270237582473],[5.58485724029233e-05 0;0.000111233014838705 0;5.58485724029233e-05 0]
3225,0,0,0,0,0,[-0.000350892799641004 -0.000342457151211432;-0.000339077260991971 -0.000314146078786184;-0.000338470061800102 -0.000328270237582473],[0.000111233014838705 0;5.58485724029233e-05 0;0.000111233014838705 0]
3299,0,0,0,0,0,[-0.000374081615845467 -0.000342457151211432;-0.000326102275082111 -0.000314146078786184;-0.000367583223439889 -0.000328270237582473],[5.58485724029233e-05 0;0.000111233014838705 0;5.58485724029233e-05 0]
3380,0,0,0,0,0,[-0.000350892799641003 -0.000342457151211432;-0.000339077260991959 -0.000314146078786184;-0.000338470061800102 -0.000328270237582473],[0.000111233014838705 0;5.58485724029233e-05 0;0.000111233014838705 0]
3458,0,0,0,0,0,[-0.000374081615845455 -0.000342457151211432;-0.000326102275082108 -0.000314146078786184;-0.000367583223439877 -0.000328270237582473],[5.58485724029233e-05 0;0.000111233014838705 0;5.58485724029233e-05 0]
3553,0,0,0,0,0,[-0.000350892799641003 -0.000342457151211432;-0.000339077260991948 -0.000314146078786184;-0.000338470061800102 -0.000328270237582473],[0.000111233014838705 0;5.58485724029233e-05 0;0.000111233014838705 0]
3616,0,0,0,0,0,[-0.000374081615845444 -0.000342457151211432;-0.000326102275082108 -0.000314146078786184;-0.000367583223439866 -0.000328270237582473],[5.58485724029233e-05 0;0.000111233014838705 0;5.58485724029233e-05 0]
3695,0,0,0,0,0,[-0.000350892799641003 -0.000342457151211432;-0.000339077260991936 -0.000314146078786184;-0.000338470061800102 -0.000328270237582473],[0.000111233014838705 0;5.58485724029233e-05 0;0.000111233014838705 0]
3782,0,0,0,0,0,[-0.000374081615845433 -0.000342457151211432;-0.000326102275082108 -0.000314146078786184;-0.000367583223439855 -0.000328270237582473],[5.58485724029233e-05 0;0.000111233014838705 0;5.58485724029233e-05 0]
3857,0,0,0,0,0,[-0.000350892799641003 -0.000342457151211432;-0.000339077260991925 -0.000314146078786184;-0.000338470061800102 -0.000328270237582473],[0.000111233014838705 0;5.58485724029233e-05 0;0.000111233014838705 0]
3950,0,0,0,0,0,[-0.000374081615845421 -0.000342457151211432;-0.000326102275082108 -0.000314146078786184;-0.000367583223439843 -0.000328270237582473],[5.58485724029233e-05 0;0.000111233014838705 0;5.58485724029233e-05 0]
4017,0,0,0,0,0,[-0.000350892799641003 -0.000342457151211432;-0.000339077260991913 -0.000314146078786184;-0.000338470061800102 -0.000328270237582473],[0.000111233014838705 0;5.58485724029233e-05 0;0.000111233014838705 0]
4105,0,0,0,0,0,[-0.00037408161584541 -0.000342457151211432;-0.000326102275082108 -0.000314146078786184;-0.000367583223439832 -0.000328270237582473],[5.58485724029233e-05 0;0.000111233014838705 0;5.58485724029233e-05 0]
4176,0,0,0,0,0,[-0.000350892799641003 -0.000342457151211432;-0.000339077260991902 -0.000314146078786184;-0.000338470061800102 -0.000328270237582473],[0.000111233014838705 0;5.58485724029233e-05 0;0.000111233014838705 0]
4257,0,0,0,0,0,[-0.000374081615845398 -0.000342457151211432;-0.000326102275082108 -0.000314146078786184;-0.00036758322343982 -0.000328270237582473],[5.58485724029233e-05 0;0.000111233014838705 0;5.58485724029233e-05 0]
4337,0,0,0,0,0,[-0.000350892799641003 -0.000342457151211432;-0.00033907726099189 -0.000314146078786184;-0.000338470061800102 -0.000328270237582473],[0.000111233014838705 0;5.58485724029233e-05 0;0.000111233014838705 0]
4428,0,0,0,0,0,[-0.000374081615845387 -0.000342457151211432;-0.000326102275082108 -0.000314146078786184;-0.000367583223439809 -0.000328270237582473],[5.58485724029233e-05 0;0.000111233014838705 0;5.58485724029233e-05 0]
4496,0,0,0,0,0,[-0.000350892799641003 -0.000342457151211432;-0.000339077260991879 -0.000314146078786184;-0.000338470061800102 -0.000328270237582473],[0.000111233014838705 0;5.58485724029233e-05 0;0.000111233014838705 0]
4579,0,0,0,0,0,[-0.000374081615845375 -0.000342457151211432;-0.000326102275082108 -0.000314146078786184;-0.000367583223439797 -0.000328270237582473],[5.58485724029233e-05 0;0.000111233014838705 0;5.58485724029233e-05 0]
4658,0,0,0,0,0,[-0.000350892799641003 -0.000342457151211432;-0.000339077260991868 -0.000314146078786184;-0.000338470061800102 -0.000328270237582473],[0.000111233014838705 0;5.58485724029233e-05 0;0.000111233014838705 0]
4735,0,0,0,0,0,[-0.000374081615845364 -0.000342457151211432;-0.000326102275082108 -0.000314146078786184;-0.000367583223439786 -0.000328270237582473],[5.58485724029233e-05 0;0.000111233014838705 0;5.58485724029233e-05 0]
4825,0,0,0,0,0,[-0.000350892799641003 -0.000342457151211432;-0.000339077260991856 -0.000314146078786184;-0.000338470061800102 -0.000328270237582473],[0.000111233014838705 0;5.58485724029233e-05 0;0.000111233014838705 0]
4896,0,0,0,0,0,[-0.000374081615845353 -0.000342457151211432;-0.000326102275082108 -0.000314146078786184;-0.000367583223439774 -0.000328270237582473],[5.58485724029233e-05 0;0.000111233014838705 0;5.58485724029233e-05 0]
4981,0,0,0,0,0,[-0.000350892799641003 -0.000342457151211432;-0.000339077260991845 -0.000314146078786184;-0.000338470061800102 -0.000328270237582473],[0.000111233014838705 0;5.58485724029233e-05 0;0.000111233014838705 0]
5057,0,0,0,0,0,[-0.000374081615845341 -0.000342457151211432;-0.000326102275082108 -0.000314146078786184;-0.000367583223439763 -0.000328270237582473],[5.58485724029233e-05 0;0.000111233014838705 0;5.58485724029233e-05 0]
5151,0,0,0,0,0,[-0.000350892799641003 -0.000342457151211432;-0.000339077260991833 -0.000314146078786184;-0.000338470061800102 -0.000328270237582473],[0.000111233014838705 0;5.58485724029233e-05 0;0.000111233014838705 0]
5215,0,0,0,0,0,[-0.00037408161584533 -0.000342457151211432;-0.000326102275082108 -0.000314146078786184;-0.000367583223439752 -0.000328270237582473],[5.58485724029233e-05 0;0.000111233014838705 0;5.58485724029233e-05 0]
5299,0,0,0,0,0,[-0.000350892799641003 -0.000342457151211432;-0.000339077260991822 -0.000314146078786184;-0.000338470061800102 -0.000328270237582473],[0.000111233014838705 0;5.58485724029233e-05 0;0.000111233014838705 0]
