F:\Uni\Simulations\SwarmSimulation
1513,0,0,0,0,0[-0.000866677106845127 -0.000334855998872931;-0.000865737822491807 -0.000332392476393404;-0.000865909730479795 -0.000353555671688421],[0.000142473222480482 0;0.000142473222480482 0;0.000142473222480482 0]
1583,0,0,0,0,0[-0.000856206511979803 -0.000334855998872931;-0.000855267227626483 -0.000332392476393404;-0.000855439135614472 -0.000353555671688421],[0.000149596883604506 0;0.000149596883604506 0;0.000149596883604506 0]
1615,0,0,0,0,0[-0.000851190622353215 -0.000334855998872931;-0.000850251337999895 -0.000332392476393404;-0.000850423245987883 -0.000353555671688421],[0.00015672054472853 0;0.00015672054472853 0;0.00015672054472853 0]
1685,0.33333,0,0,0,0[-0.000840869107401703 -0.000334855998872931;-0.000839929823048383 -0.000332392476393404;-0.000840101731036372 -0.000353555671688421],[0.000163844205852554 0;0.000163844205852554 0;0.000163844205852554 0]
1713,1,0,0,0,0[-0.000834884605954494 -0.000334855998872931;-0.000839929823048383 -0.000332392476393404;-0.000834117229589163 -0.000353555671688421],[0.000170967866976578 0;0 0;0.000170967866976578 0]
1768,1,0,0,0,0[-0.000834884605954494 -0.000334855998872931;-0.000839929823048383 -0.000332392476393404;-0.000834117229589163 -0.000353555671688421],[0 0;0 0;0 0]
1813,1,0,0,0,0[-0.000834884605954494 -0.000334855998872931;-0.000839929823048383 -0.000332392476393404;-0.000834117229589163 -0.000353555671688421],[0 0;0 0;0 0]
1878,1,0,0,0,0[-0.000834884605954494 -0.000334855998872931;-0.000839929823048383 -0.000332392476393404;-0.000834117229589163 -0.000353555671688421],[0 0;0 0;0 0]
1915,1,0,0,0,0[-0.000834884605954494 -0.000334855998872931;-0.000839929823048383 -0.000332392476393404;-0.000834117229589163 -0.000353555671688421],[0 0;0 0;0 0]
1969,1,0,0,0,0[-0.000834884605954494 -0.000334855998872931;-0.000839929823048383 -0.000332392476393404;-0.000834117229589163 -0.000353555671688421],[0 0;0 0;0 0]
2014,1,0,0,0,0[-0.000834884605954494 -0.000334855998872931;-0.000839929823048383 -0.000332392476393404;-0.000834117229589163 -0.000353555671688421],[0 0;0 0;0 0]
2076,1,0,0,0,0[-0.000834884605954494 -0.000334855998872931;-0.000839929823048383 -0.000332392476393404;-0.000834117229589163 -0.000353555671688421],[0 0;0 0;0 0]
2115,1,0,0,0,0[-0.000834884605954494 -0.000334855998872931;-0.000839929823048383 -0.000332392476393404;-0.000834117229589163 -0.000353555671688421],[0 0;0 0;0 0]
2172,1,0,0,0,0[-0.000834884605954494 -0.000334855998872931;-0.000839929823048383 -0.000332392476393404;-0.000834117229589163 -0.000353555671688421],[0 0;0 0;0 0]
2213,1,0,0,0,0[-0.000834884605954494 -0.000334855998872931;-0.000839929823048383 -0.000332392476393404;-0.000834117229589163 -0.000353555671688421],[0 0;0 0;0 0]
2278,1,0,0,0,0[-0.000834884605954494 -0.000334855998872931;-0.000839929823048383 -0.000332392476393404;-0.000834117229589163 -0.000353555671688421],[0 0;0 0;0 0]
2316,1,0,0,0,0[-0.000834884605954494 -0.000334855998872931;-0.000839929823048383 -0.000332392476393404;-0.000834117229589163 -0.000353555671688421],[0 0;0 0;0 0]
2364,1,0,0,0,0[-0.000834884605954494 -0.000334855998872931;-0.000839929823048383 -0.000332392476393404;-0.000834117229589163 -0.000353555671688421],[0 0;0 0;0 0]
2418,1,0,0,0,0[-0.000834884605954494 -0.000334855998872931;-0.000839929823048383 -0.000332392476393404;-0.000834117229589163 -0.000353555671688421],[0 0;0 0;0 0]
2465,1,0,0,0,0[-0.000834884605954494 -0.000334855998872931;-0.000839929823048383 -0.000332392476393404;-0.000834117229589163 -0.000353555671688421],[0 0;0 0;0 0]
2513,1,0,0,0,0[-0.000834884605954494 -0.000334855998872931;-0.000839929823048383 -0.000332392476393404;-0.000834117229589163 -0.000353555671688421],[0 0;0 0;0 0]
2573,1,0,0,0,0[-0.000834884605954494 -0.000334855998872931;-0.000839929823048383 -0.000332392476393404;-0.000834117229589163 -0.000353555671688421],[0 0;0 0;0 0]
2614,1,0,0,0,0[-0.000834884605954494 -0.000334855998872931;-0.000839929823048383 -0.000332392476393404;-0.000834117229589163 -0.000353555671688421],[0 0;0 0;0 0]
2678,1,0,0,0,0[-0.000834884605954494 -0.000334855998872931;-0.000839929823048383 -0.000332392476393404;-0.000834117229589163 -0.000353555671688421],[0 0;0 0;0 0]
2714,1,0,0,0,0[-0.000834884605954494 -0.000334855998872931;-0.000839929823048383 -0.000332392476393404;-0.000834117229589163 -0.000353555671688421],[0 0;0 0;0 0]
2771,1,0,0,0,0[-0.000834884605954494 -0.000334855998872931;-0.000839929823048383 -0.000332392476393404;-0.000834117229589163 -0.000353555671688421],[0 0;0 0;0 0]
2814,1,0,0,0,0[-0.000834884605954494 -0.000334855998872931;-0.000839929823048383 -0.000332392476393404;-0.000834117229589163 -0.000353555671688421],[0 0;0 0;0 0]
2879,1,0,0,0,0[-0.000834884605954494 -0.000334855998872931;-0.000839929823048383 -0.000332392476393404;-0.000834117229589163 -0.000353555671688421],[0 0;0 0;0 0]
2913,1,0,0,0,0[-0.000834884605954494 -0.000334855998872931;-0.000839929823048383 -0.000332392476393404;-0.000834117229589163 -0.000353555671688421],[0 0;0 0;0 0]
2971,1,0,0,0,0[-0.000834884605954494 -0.000334855998872931;-0.000839929823048383 -0.000332392476393404;-0.000834117229589163 -0.000353555671688421],[0 0;0 0;0 0]
