22,3.90E-16,2.50E-21,8.12E-07
75,3.90E-16,6.49E-21,2.11E-06
138,3.90E-16,1.02E-20,3.33E-06
176,3.89E-16,1.14E-20,3.69E-06
245,3.89E-16,1.76E-20,5.72E-06
284,3.87E-16,1.78E-20,5.78E-06
317,3.87E-16,2.17E-20,7.04E-06
367,3.85E-16,2.40E-20,7.79E-06
418,3.83E-16,2.78E-20,9.04E-06
474,3.81E-16,3.09E-20,1.01E-05
515,3.79E-16,3.28E-20,1.07E-05
568,3.77E-16,3.73E-20,1.21E-05
631,3.73E-16,4.02E-20,1.31E-05
665,3.70E-16,4.14E-20,1.34E-05
718,3.69E-16,4.66E-20,1.51E-05
764,3.63E-16,4.67E-20,1.52E-05
825,3.63E-16,5.37E-20,1.74E-05
863,3.55E-16,5.11E-20,1.66E-05
917,3.57E-16,5.99E-20,1.95E-05
964,3.46E-16,5.63E-20,1.83E-05
1013,3.50E-16,6.54E-20,2.12E-05
1079,3.38E-16,6.34E-20,2.06E-05
1117,3.39E-16,6.95E-20,2.26E-05
1164,3.31E-16,6.84E-20,2.22E-05
1224,3.31E-16,7.59E-20,2.47E-05
1270,3.20E-16,7.31E-20,2.38E-05
1315,3.23E-16,8.04E-20,2.61E-05
1363,3.11E-16,7.80E-20,2.53E-05
1422,3.14E-16,8.64E-20,2.81E-05
1464,3.00E-16,8.20E-20,2.67E-05
1517,3.06E-16,9.16E-20,2.97E-05
1568,2.90E-16,8.68E-20,2.82E-05
1613,2.96E-16,9.58E-20,3.11E-05
1670,2.81E-16,9.19E-20,2.99E-05
1713,2.85E-16,9.97E-20,3.24E-05
1776,2.73E-16,9.74E-20,3.16E-05
1814,2.73E-16,1.03E-19,3.35E-05
1870,2.65E-16,1.02E-19,3.32E-05
1913,2.63E-16,1.07E-19,3.47E-05
1977,2.57E-16,1.07E-19,3.49E-05
2014,2.51E-16,1.10E-19,3.56E-05
2068,2.50E-16,1.12E-19,3.63E-05
2113,2.42E-16,1.13E-19,3.68E-05
2176,2.42E-16,1.17E-19,3.79E-05
2214,2.31E-16,1.16E-19,3.77E-05
2270,2.35E-16,1.21E-19,3.93E-05
2314,2.21E-16,1.19E-19,3.87E-05
2377,2.28E-16,1.25E-19,4.07E-05
2414,2.11E-16,1.22E-19,3.95E-05
2469,2.21E-16,1.29E-19,4.20E-05
2515,2.03E-16,1.25E-19,4.05E-05
2568,2.14E-16,1.33E-19,4.32E-05
2623,1.95E-16,1.28E-19,4.16E-05
2669,2.05E-16,1.36E-19,4.42E-05
2714,1.88E-16,1.31E-19,4.25E-05
2776,1.98E-16,1.40E-19,4.55E-05
2813,1.80E-16,1.33E-19,4.32E-05
2868,1.93E-16,1.43E-19,4.66E-05
2913,1.72E-16,1.35E-19,4.40E-05
2976,1.86E-16,1.47E-19,4.78E-05
3014,1.64E-16,1.37E-19,4.47E-05
3069,1.81E-16,1.50E-19,4.88E-05
3115,1.58E-16,1.40E-19,4.54E-05
3167,1.75E-16,1.53E-19,4.98E-05
3213,1.52E-16,1.42E-19,4.61E-05
3270,1.69E-16,1.56E-19,5.08E-05
3314,1.46E-16,1.44E-19,4.68E-05
3376,1.64E-16,1.60E-19,5.18E-05
3414,1.39E-16,1.46E-19,4.74E-05
3467,1.59E-16,1.62E-19,5.27E-05
3514,1.34E-16,1.48E-19,4.80E-05
3570,1.54E-16,1.65E-19,5.36E-05
3621,1.29E-16,1.50E-19,4.87E-05
3664,1.48E-16,1.67E-19,5.43E-05
3728,1.25E-16,1.52E-19,4.95E-05
3763,1.42E-16,1.69E-19,5.48E-05
3821,1.22E-16,1.55E-19,5.03E-05
3864,1.36E-16,1.70E-19,5.54E-05
3929,1.18E-16,1.57E-19,5.10E-05
3964,1.30E-16,1.72E-19,5.59E-05
4019,1.15E-16,1.59E-19,5.17E-05
4067,1.25E-16,1.74E-19,5.65E-05
4126,1.11E-16,1.61E-19,5.24E-05
4163,1.21E-16,1.75E-19,5.70E-05
4218,1.09E-16,1.63E-19,5.30E-05
4264,1.16E-16,1.77E-19,5.75E-05
4326,1.05E-16,1.65E-19,5.37E-05
4364,1.12E-16,1.78E-19,5.80E-05
4421,1.03E-16,1.67E-19,5.43E-05
4474,1.08E-16,1.80E-19,5.86E-05
4518,9.90E-17,1.68E-19,5.47E-05
4567,1.05E-16,1.82E-19,5.91E-05
4618,9.59E-17,1.70E-19,5.53E-05
4663,1.01E-16,1.83E-19,5.96E-05
4743,9.32E-17,1.72E-19,5.60E-05
4764,9.63E-17,1.84E-19,5.98E-05
4813,9.19E-17,1.74E-19,5.65E-05
4865,9.35E-17,1.85E-19,6.03E-05
4913,8.90E-17,1.75E-19,5.69E-05
4974,9.08E-17,1.87E-19,6.09E-05
5018,8.56E-17,1.76E-19,5.73E-05
5070,8.84E-17,1.89E-19,6.13E-05
5113,8.29E-17,1.78E-19,5.77E-05
5171,8.62E-17,1.90E-19,6.19E-05
5214,8.00E-17,1.79E-19,5.81E-05
5264,8.40E-17,1.92E-19,6.23E-05
5314,7.77E-17,1.80E-19,5.85E-05
5371,8.16E-17,1.93E-19,6.28E-05
5414,7.50E-17,1.81E-19,5.88E-05
5465,7.97E-17,1.95E-19,6.32E-05
5527,7.28E-17,1.82E-19,5.93E-05
5567,7.69E-17,1.96E-19,6.35E-05
5618,7.12E-17,1.84E-19,5.96E-05
5664,7.47E-17,1.97E-19,6.39E-05
5712,6.93E-17,1.85E-19,6.00E-05
5771,7.28E-17,1.98E-19,6.43E-05
5813,6.71E-17,1.85E-19,6.03E-05
