6015,3.28E-17,3.66E-19,0.00011918
6077,2.75E-17,3.23E-19,0.000105
6122,3.17E-17,3.67E-19,0.00011933
6165,2.68E-17,3.23E-19,0.00010512
6214,3.10E-17,3.67E-19,0.00011949
6274,2.60E-17,3.24E-19,0.00010528
6315,3.00E-17,3.68E-19,0.00011961
6366,2.55E-17,3.24E-19,0.00010542
6415,2.92E-17,3.68E-19,0.00011976
6472,2.48E-17,3.24E-19,0.00010556
6515,2.83E-17,3.69E-19,0.00011988
6577,2.42E-17,3.25E-19,0.00010572
6626,2.74E-17,3.69E-19,0.00012002
6665,2.36E-17,3.25E-19,0.00010581
6718,2.69E-17,3.69E-19,0.00012017
6765,2.30E-17,3.26E-19,0.00010592
6827,2.63E-17,3.70E-19,0.00012034
6864,2.23E-17,3.26E-19,0.000106
6918,2.58E-17,3.70E-19,0.00012048
6964,2.17E-17,3.26E-19,0.00010611
7014,2.52E-17,3.71E-19,0.00012061
7080,2.11E-17,3.27E-19,0.00010625
7117,2.45E-17,3.71E-19,0.00012071
7165,2.08E-17,3.27E-19,0.00010635
7225,2.39E-17,3.71E-19,0.00012086
7269,2.02E-17,3.27E-19,0.00010644
7315,2.35E-17,3.72E-19,0.00012097
7365,1.97E-17,3.28E-19,0.00010654
7424,2.29E-17,3.72E-19,0.00012111
7466,1.92E-17,3.28E-19,0.00010662
7516,2.25E-17,3.73E-19,0.00012122
7580,1.88E-17,3.28E-19,0.00010674
7626,2.19E-17,3.73E-19,0.00012133
7671,1.84E-17,3.29E-19,0.00010682
7714,2.15E-17,3.73E-19,0.00012142
7777,1.80E-17,3.29E-19,0.00010694
7816,2.09E-17,3.74E-19,0.00012151
7865,1.77E-17,3.29E-19,0.00010703
7914,2.05E-17,3.74E-19,0.00012161
7976,1.74E-17,3.29E-19,0.00010714
8015,1.99E-17,3.74E-19,0.00012169
8075,1.71E-17,3.30E-19,0.00010724
8129,1.95E-17,3.74E-19,0.0001218
8165,1.67E-17,3.30E-19,0.00010731
8220,1.92E-17,3.75E-19,0.0001219
8266,1.63E-17,3.30E-19,0.00010738
8316,1.88E-17,3.75E-19,0.000122
8374,1.60E-17,3.30E-19,0.00010748
8416,1.84E-17,3.75E-19,0.00012208
8464,1.57E-17,3.31E-19,0.00010755
8527,1.80E-17,3.76E-19,0.00012219
8576,1.53E-17,3.31E-19,0.00010763
8621,1.77E-17,3.76E-19,0.00012228
8666,1.50E-17,3.31E-19,0.0001077
8729,1.74E-17,3.76E-19,0.00012239
8764,1.47E-17,3.31E-19,0.00010775
8821,1.72E-17,3.77E-19,0.00012249
8867,1.44E-17,3.32E-19,0.00010782
8918,1.69E-17,3.77E-19,0.00012257
8979,1.41E-17,3.32E-19,0.00010791
9014,1.65E-17,3.77E-19,0.00012263
9074,1.39E-17,3.32E-19,0.00010799
9118,1.61E-17,3.77E-19,0.00012271
9164,1.37E-17,3.32E-19,0.00010805
9222,1.59E-17,3.78E-19,0.0001228
9264,1.34E-17,3.33E-19,0.00010811
9314,1.56E-17,3.78E-19,0.00012288
9365,1.31E-17,3.33E-19,0.00010818
9422,1.54E-17,3.78E-19,0.00012297
9465,1.29E-17,3.33E-19,0.00010824
9529,1.51E-17,3.78E-19,0.00012307
9582,1.26E-17,3.33E-19,0.0001083
9621,1.48E-17,3.79E-19,0.00012312
9669,1.24E-17,3.33E-19,0.00010836
