F:\Uni\Simulations\SwarmSimulation
12,0,0,0,0,0[-0.009017311115657 -0.00294909922193117;-0.00901950557125038 -0.0031008902174787;-0.00905666829006105 -0.00339778497080227],[1.57471163323313e-05 0;1.57955846370126e-05 0;1.66557333591047e-05 0]
63,0,0,0,0,0[-0.00901288625288116 -0.00294909922193117;-0.0090150670935815 -0.0031008902174787;-0.00905198820017051 -0.00339778497080227],[8.85053584244947e-05 0;8.87776812169777e-05 0;9.36103680959319e-05 0]
117,0,0,0,0,0[-0.00900530490469029 -0.00294909922193117;-0.00900746256903954 -0.0031008902174787;-0.00904397259034844 -0.00339778497080227],[0.000137841929542706 0;0.000138263315406315 0;0.000145737551754583 0]
159,0,0,0,0,0[-0.0089986182984371 -0.00294909922193117;-0.00900075570060277 -0.0031008902174787;-0.00903690656752497 -0.00339778497080227],[0.000159205604871523 0;0.00015968803991719 0;0.000168239372119518 0]
213,0,0,0,0,0[-0.00898943777584246 -0.00294909922193117;-0.0089915477116857 -0.0031008902174787;-0.00902721220030039 -0.00339778497080227],[0.000176541880505416 0;0.00017707005917517 0;0.000186423136863221 0]
265,0,0,0,0,0[-0.00897897448087537 -0.00294909922193117;-0.00898105363007307 -0.0031008902174787;-0.00901617362423653 -0.00339778497080227],[0.000186819915260441 0;0.000187369604295101 0;0.000197091437384996 0]
304,0,0,0,0,0[-0.00897156091352503 -0.00294909922193117;-0.00897361854107214 -0.0031008902174787;-0.00900835827862689 -0.00339778497080227],[0.000190121522156829 0;0.000190673446591754 0;0.00020042515745386 0]
357,0,0,0,0,0[-0.00896135792724433 -0.00294909922193117;-0.00896338650359958 -0.0031008902174787;-0.00899761367438988 -0.00339778497080227],[0.000192504076260859 0;0.000193052197438186 0;0.000202723012315041 0]
404,0,0,0,0,0[-0.00895229537273068 -0.00294909922193117;-0.00895429861206613 -0.0031008902174787;-0.00898807933286725 -0.00339778497080227],[0.000192832328768303 0;0.000193371447901319 0;0.000202870975982892 0]
465,0,0,0,0,0[-0.00894057965199515 -0.00294909922193117;-0.00894255093340402 -0.0031008902174787;-0.00897576952387162 -0.00339778497080227],[0.000192046391726844 0;0.000192570252326239 0;0.000201784802985898 0]
505,0,0,0,0,0[-0.00893294536652668 -0.00294909922193117;-0.00893489616259221 -0.0031008902174787;-0.00896775483008667 -0.00339778497080227],[0.000190889176826092 0;0.000191401396384016 0;0.000200400981263105 0]
589,0,0,0,0,0[-0.00891715087596351 -0.00294909922193117;-0.00891906076529982 -0.0031008902174787;-0.00895120246131648 -0.00339778497080227],[0.000188013392706941 0;0.000188500335474393 0;0.000197034972250153 0]
606,0,0,0,0,0[-0.00891415333279871 -0.00294909922193117;-0.0089160555087702 -0.0031008902174787;-0.00894806206953323 -0.00339778497080227],[0.000187360027514099 0;0.000187842147758765 0;0.000196288713311159 0]
662,0,0,0,0,0[-0.0089036091230349 -0.00294909922193117;-0.00890548479687079 -0.0031008902174787;-0.00893702776226105 -0.00339778497080227],[0.000185013475523704 0;0.000185478493986632 0;0.000193612948163255 0]
718,0,0,0,0,0[-0.00889337788881678 -0.00294909922193117;-0.00889522842890887 -0.0031008902174787;-0.00892633237832584 -0.00339778497080227],[0.00018267651974355 0;0.00018312527741515 0;0.000190963814624059 0]
