F:\Uni\Simulations\SwarmSimulation
1305,0,0,0,0,0[-0.00858733401414837 -0.0033707876845481;-0.00858231704106415 -0.00290632552011417;-0.00860499412717198 -0.00260046917700723],[0.000298514577851795 0;0.000296907721655984 0;0.000304295121692194 0]
1358,0,0,0,0,0[-0.00857177634715272 -0.0033707876845481;-0.00856684072359304 -0.00290632552011417;-0.00858914411367805 -0.00260046917700723],[0.000293575371214078 0;0.00029204029420873 0;0.000299091990883499 0]
1406,0,0,0,0,0[-0.00855817366095283 -0.0033707876845481;-0.00855330741864941 -0.00290632552011417;-0.00857529230429747 -0.00260046917700723],[0.000289389918128976 0;0.00028791386878286 0;0.00029468988137165 0]
1466,0,0,0,0,0[-0.00854084068405497 -0.0033707876845481;-0.00853606008891427 -0.00290632552011417;-0.008557652126443 -0.00260046917700723],[0.000284161094178365 0;0.000282756973488866 0;0.000289197422356562 0]
1505,0,0,0,0,0[-0.00852988177759215 -0.0033707876845481;-0.00852515429925233 -0.00290632552011417;-0.00854650281736052 -0.00260046917700723],[0.000280987047710159 0;0.000279625129610666 0;0.00028586898279712 0]
1555,0,0,0,0,0[-0.00851602942098837 -0.0033707876845481;-0.00851136745978807 -0.00290632552011417;-0.00853241578917637 -0.00260046917700723],[0.000277030223492672 0;0.000275719960674436 0;0.00028172336865334 0]
1619,0.66667,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00851471114947315 -0.00260046917700723],[0.000272155505205585 0;0.000270907317984922 0;0.000276622068802069 0]
1656,0.66667,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00850485197356781 -0.00260046917700723],[0 0;0 0;0.000273900361226076 0]
1705,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0.000270209880726654 0]
1758,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
1805,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
1866,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
1911,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
1955,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
2018,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
2056,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
2112,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
2156,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
2205,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
2265,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
2311,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
2355,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
2419,1,0,0,0,0[-0.00849861065471358 -0.0033707876845481;-0.00849402858122838 -0.00290632552011417;-0.00849134271645414 -0.00260046917700723],[0 0;0 0;0 0]
