F:\Uni\Simulations\SwarmSimulation
15,0,0,0,0,0[-0.00908872060474901 -0.00296630800733993;-0.00904447717145685 -0.00277958220051977;-0.00909664847276166 -0.00318024756092873],[0.000190957410486589 0;0.000178901053821139 0;0.000193261612107572 0]
61,0,0,0,0,0[-0.00904941163586579 -0.00296630800733993;-0.00900763890912097 -0.00277958220051977;-0.00905686753322273 -0.00318024756092873],[0.000854587024292987 0;0.000800873232856012 0;0.000864847786904417 0]
119,0,0,0,0,0[-0.0089692762776232 -0.00296630800733993;-0.00893225253905784 -0.00277958220051977;-0.00897583055085322 -0.00318024756092873],[0.00135809434646654 0;0.00127761084780374 0;0.00137337462543791 0]
166,0,0,0,0,0[-0.00890010988916189 -0.00296630800733993;-0.00886685400321298 -0.00277958220051977;-0.00890595439883529 -0.00318024756092873],[0.0015034455834828 0;0.00142154508959507 0;0.00151887346555456 0]
218,0,0,0,0,0[-0.00882425712801108 -0.00296630800733993;-0.00879472266561683 -0.00277958220051977;-0.00882940699476196 -0.00318024756092873],[0.0015481428074678 0;0.00147218914378725 0;0.00156232035918709 0]
255,0,0,0,0,0[-0.00876013354997826 -0.00296630800733993;-0.00873344865887661 -0.00277958220051977;-0.00876475571965241 -0.00318024756092873],[0.00152675851406326 0;0.00145891128273468 0;0.00153932278495166 0]
318,0,0,0,0,0[-0.00866850027613317 -0.00296630800733993;-0.00864526729381882 -0.00277958220051977;-0.00867249147318417 -0.00318024756092873],[0.00145459082831818 0;0.0013997950685303 0;0.00146460691692931 0]
356,0,0,0,0,0[-0.00861551550903659 -0.00296630800733993;-0.00859409368035153 -0.00277958220051977;-0.00861917788128167 -0.00318024756092873],[0.00139426207445953 0;0.00134660266299636 0;0.00140291490018938 0]
405,0,0,0,0,0[-0.00855111473586785 -0.00296630800733993;-0.00853162185321808 -0.00277958220051977;-0.00855443006475413 -0.00318024756092873],[0.00131420491059838 0;0.00127484155784448 0;0.00132128690765967 0]
457,1,0,0,0,0[-0.00848705047629744 -0.00296630800733993;-0.00846922318973353 -0.00277958220051977;-0.00849006895238833 -0.00318024756092873],[0.00123195871925073 0;0.00119992922832257 0;0.00123766721244287 0]
506,1,0,0,0,0[-0.00848705047629744 -0.00296630800733993;-0.00846922318973353 -0.00277958220051977;-0.00849006895238833 -0.00318024756092873],[0 0;0 0;0 0]
556,1,0,0,0,0[-0.00848705047629744 -0.00296630800733993;-0.00846922318973353 -0.00277958220051977;-0.00849006895238833 -0.00318024756092873],[0 0;0 0;0 0]
605,1,0,0,0,0[-0.00848705047629744 -0.00296630800733993;-0.00846922318973353 -0.00277958220051977;-0.00849006895238833 -0.00318024756092873],[0 0;0 0;0 0]
656,1,0,0,0,0[-0.00848705047629744 -0.00296630800733993;-0.00846922318973353 -0.00277958220051977;-0.00849006895238833 -0.00318024756092873],[0 0;0 0;0 0]
706,1,0,0,0,0[-0.00848705047629744 -0.00296630800733993;-0.00846922318973353 -0.00277958220051977;-0.00849006895238833 -0.00318024756092873],[0 0;0 0;0 0]
763,1,0,0,0,0[-0.00848705047629744 -0.00296630800733993;-0.00846922318973353 -0.00277958220051977;-0.00849006895238833 -0.00318024756092873],[0 0;0 0;0 0]
806,1,0,0,0,0[-0.00848705047629744 -0.00296630800733993;-0.00846922318973353 -0.00277958220051977;-0.00849006895238833 -0.00318024756092873],[0 0;0 0;0 0]
870,1,0,0,0,0[-0.00848705047629744 -0.00296630800733993;-0.00846922318973353 -0.00277958220051977;-0.00849006895238833 -0.00318024756092873],[0 0;0 0;0 0]
906,1,0,0,0,0[-0.00848705047629744 -0.00296630800733993;-0.00846922318973353 -0.00277958220051977;-0.00849006895238833 -0.00318024756092873],[0 0;0 0;0 0]
963,1,0,0,0,0[-0.00848705047629744 -0.00296630800733993;-0.00846922318973353 -0.00277958220051977;-0.00849006895238833 -0.00318024756092873],[0 0;0 0;0 0]
1005,1,0,0,0,0[-0.00848705047629744 -0.00296630800733993;-0.00846922318973353 -0.00277958220051977;-0.00849006895238833 -0.00318024756092873],[0 0;0 0;0 0]
1057,1,0,0,0,0[-0.00848705047629744 -0.00296630800733993;-0.00846922318973353 -0.00277958220051977;-0.00849006895238833 -0.00318024756092873],[0 0;0 0;0 0]
1117,1,0,0,0,0[-0.00848705047629744 -0.00296630800733993;-0.00846922318973353 -0.00277958220051977;-0.00849006895238833 -0.00318024756092873],[0 0;0 0;0 0]
1155,1,0,0,0,0[-0.00848705047629744 -0.00296630800733993;-0.00846922318973353 -0.00277958220051977;-0.00849006895238833 -0.00318024756092873],[0 0;0 0;0 0]
1211,1,0,0,0,0[-0.00848705047629744 -0.00296630800733993;-0.00846922318973353 -0.00277958220051977;-0.00849006895238833 -0.00318024756092873],[0 0;0 0;0 0]
