F:\Uni\Simulations\SwarmSimulation
67,0,0,0,0,0,[-0.000941817959610923 -0.000334855998872931;-0.000940878675257604 -0.000332392476393404;-0.000941050583245592 -0.000353555671688421],[6.28296439531598e-05 0;6.28296439531598e-05 0;6.28296439531598e-05 0]
105,0,0,0,0,0,[-0.000935534995215594 -0.000334855998872931;-0.000934595710862275 -0.000332392476393404;-0.000934767618850263 -0.000353555671688421],[0.000119785143009822 0;0.000119785143009822 0;0.000119785143009822 0]
191,0,0,0,0,0,[-0.000929839445309929 -0.000334855998872931;-0.00092890016095661 -0.000332392476393404;-0.000929072068944598 -0.000353555671688421],[0.000161263632169994 0;0.000161263632169994 0;0.000161263632169994 0]
259,0,0,0,0,0,[-0.000919408631998586 -0.000334855998872931;-0.000918469347645267 -0.000332392476393404;-0.000918641255633255 -0.000353555671688421],[0.000185395292877308 0;0.000185395292877308 0;0.000185395292877308 0]
359,0,0,0,0,0,[-0.000911299916022193 -0.000334855998872931;-0.000910360631668874 -0.000332392476393404;-0.000910532539656862 -0.000353555671688421],[0.000197078796669242 0;0.000197078796669242 0;0.000197078796669242 0]
416,0,0,0,0,0,[-0.00089970075233166 -0.000334855998872931;-0.00089876146797834 -0.000332392476393404;-0.000898933375966328 -0.000353555671688421],[0.000202112776105714 0;0.000202112776105714 0;0.000202112776105714 0]
495,0,0,0,0,0,[-0.000891088638411621 -0.000334855998872931;-0.000890149354058302 -0.000332392476393404;-0.00089032126204629 -0.000353555671688421],[0.000204156500307594 0;0.000204156500307594 0;0.000204156500307594 0]
589,0,0,0,0,0,[-0.0008792851023009 -0.000334855998872931;-0.00087834581794758 -0.000332392476393404;-0.000878517725935568 -0.000353555671688421],[0.00020496469897248 0;0.00020496469897248 0;0.00020496469897248 0]
659,0,0,0,0,0,[-0.000870592168514373 -0.000334855998872931;-0.000869652884161053 -0.000332392476393404;-0.000869824792149041 -0.000353555671688421],[0.0002052808744499 0;0.0002052808744499 0;0.0002052808744499 0]
739,0,0,0,0,0,[-0.00085875701485591 -0.000334855998872931;-0.00085781773050259 -0.000332392476393404;-0.000857989638490578 -0.000353555671688421],[0.00020540403649027 0;0.00020540403649027 0;0.00020540403649027 0]
817,0,0,0,0,0,[-0.000850051764865346 -0.000334855998872931;-0.000849112480512026 -0.000332392476393404;-0.000849284388500014 -0.000353555671688421],[0.000205451932141863 0;0.000205451932141863 0;0.000205451932141863 0]
908,1,0,0,0,0,[-0.000838211821641723 -0.000334855998872931;-0.000837272537288404 -0.000332392476393404;-0.000837444445276392 -0.000353555671688421],[0.000205470545765956 0;0.000205470545765956 0;0.000205470545765956 0]
976,1,0,0,0,0,[-0.00082950471028875 -0.000334855998872931;-0.000828565425935431 -0.000332392476393404;-0.000828737333923419 -0.000353555671688421],[0.000205477777712043 0;0.000205477777712043 0;0.000205477777712043 0]
1064,1,0,0,0,0,[-0.000817664043870519 -0.000334855998872931;-0.0008167247595172 -0.000332392476393404;-0.000816896667505188 -0.000353555671688421],[0.000205480587259869 0;0.000205480587259869 0;0.000205480587259869 0]
1136,1,0,0,0,0,[-0.000808956651562763 -0.000334855998872931;-0.000808017367209444 -0.000332392476393404;-0.000808189275197432 -0.000353555671688421],[0.000205481678702654 0;0.000205481678702654 0;0.000205481678702654 0]
1216,1,0,0,0,0,[-0.000797115876000254 -0.000334855998872931;-0.000796176591646934 -0.000332392476393404;-0.000796348499634922 -0.000353555671688421],[0.00020548210269599 0;0.00020548210269599 0;0.00020548210269599 0]
1309,1,0,0,0,0,[-0.000788408441293164 -0.000334855998872931;-0.000787469156939845 -0.000332392476393404;-0.000787641064927833 -0.000353555671688421],[0.000205482267403941 0;0.000205482267403941 0;0.000205482267403941 0]
