F:\Uni\Simulations\SwarmSimulation
29,2.2619e-11,0,0,2.1e-12,-0.00094983
47,2.2619e-11,4.4334e-19,0,4.41e-12,-0.00094983
68,2.2619e-11,9.3102e-19,0,9.261e-12,-0.00094983
94,2.2619e-11,1.9551e-18,0,1.9448e-11,-0.00094983
114,2.2619e-11,4.1058e-18,0,4.0841e-11,-0.00094983
131,2.2619e-11,8.6222e-18,0,8.5766e-11,-0.00094983
149,2.2619e-11,1.8107e-17,0,1.8011e-10,-0.00094983
164,2.2619e-11,3.8024e-17,0,3.7823e-10,-0.00094983
179,2.2619e-11,7.985e-17,0,7.9428e-10,-0.00094983
195,2.2619e-11,1.6768e-16,0,1.668e-09,-0.00094983
210,2.2619e-11,3.5214e-16,0,3.5028e-09,-0.00094983
223,2.2619e-11,7.3949e-16,0,7.3558e-09,-0.00094983
235,2.2619e-11,1.5529e-15,0,1.5447e-08,-0.00094983
248,2.2619e-11,3.2611e-15,0,3.2439e-08,-0.00094983
261,2.2619e-11,6.8484e-15,0,6.8122e-08,-0.00094982
272,2.2619e-11,1.4382e-14,0,1.4306e-07,-0.00094981
295,2.2619e-11,3.0201e-14,0,3.0042e-07,-0.0009498
322,2.2619e-11,6.3423e-14,0,6.3088e-07,-0.00094976
336,2.2619e-11,1.3319e-13,0,1.3248e-06,-0.00094968
351,2.2619e-11,2.797e-13,0,2.7822e-06,-0.00094951
367,2.2619e-11,5.8736e-13,0,5.8426e-06,-0.00094916
383,2.2619e-11,1.2335e-12,0,1.2269e-05,-0.00094842
398,2.2619e-11,2.5903e-12,0,2.5766e-05,-0.00094687
565,2.2619e-11,5.4396e-12,0,5.4109e-05,-0.00094362
670,2.2619e-11,1.1423e-11,0,0.00011363,-0.00093679
682,2.2619e-11,2.3989e-11,0,-1.132e-05,-0.00092246
693,2.2619e-11,-2.3898e-12,0,1.132e-06,-0.00092984
737,2.2619e-11,2.3898e-13,0,2.3772e-06,-0.0009291
802,2.2619e-11,5.0185e-13,0,4.992e-06,-0.0009288
816,2.2619e-11,1.0539e-12,0,1.0483e-05,-0.00092817
829,2.2619e-11,2.2132e-12,0,2.2015e-05,-0.00092685
842,2.2619e-11,4.6477e-12,0,4.6231e-05,-0.00092407
857,2.2619e-11,9.7601e-12,0,9.7087e-05,-0.00091823
869,2.2619e-11,2.0496e-11,0,0.0002039,-0.00090598
889,2.2619e-11,4.3047e-11,0,-2.0381e-05,-0.00088025
901,2.2619e-11,-4.3027e-12,0,2.038e-06,-0.0008935
914,2.2619e-11,4.3026e-13,0,4.2798e-06,-0.00089218
927,2.2619e-11,9.0354e-13,0,8.9877e-06,-0.00089164
939,2.2619e-11,1.8974e-12,0,1.8874e-05,-0.00089051
952,2.2619e-11,3.9846e-12,0,3.9636e-05,-0.00088812
965,2.2619e-11,8.3677e-12,0,8.3236e-05,-0.00088312
978,2.2619e-11,1.7572e-11,0,0.0001748,-0.00087262
996,2.2619e-11,3.6903e-11,0,-1.747e-05,-0.00085056
1009,2.2619e-11,-3.6883e-12,0,1.747e-06,-0.00086192
1027,2.2619e-11,3.6882e-13,0,3.6687e-06,-0.00086079
1039,2.2619e-11,7.7451e-13,0,7.7042e-06,-0.00086032
1054,2.2619e-11,1.6265e-12,0,1.6179e-05,-0.00085935
1066,2.2619e-11,3.4156e-12,0,3.3976e-05,-0.00085731
1089,2.2619e-11,7.1728e-12,0,7.1349e-05,-0.00085302
1116,2.2619e-11,1.5063e-11,0.33333,0.00014984,-0.00084402
